"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Cheras,Taman Maluri Flat","Kuala Lumpur City Centre",9140,9.14,5.679596,825,13.75,0.229166666666667,"driving"
"Kuala Lumpur - Cheras,Taman Maluri Flat","Bukit Bintang, Kuala Lumpur",3015,3.015,1.873521,447,7.45,0.124166666666667,"driving"
"Kuala Lumpur - Cheras,Segar View","Kuala Lumpur, TRX",10359,10.359,6.4370826,1119,18.65,0.310833333333333,"driving"
"Kuala Lumpur - Cheras,Segar View","Kuala Lumpur City Centre",9782,9.782,6.0785348,1043,17.3833333333333,0.289722222222222,"driving"
"Kuala Lumpur - Cheras,Segar View","Bukit Bintang, Kuala Lumpur",9605,9.605,5.968547,1009,16.8166666666667,0.280277777777778,"driving"
"Kuala Lumpur - Ampang Hilir,325 Persiaran Ritchie","Kuala Lumpur, TRX",6770,6.77,4.206878,788,13.1333333333333,0.218888888888889,"driving"
"Kuala Lumpur - Ampang Hilir,325 Persiaran Ritchie","Kuala Lumpur City Centre",7636,7.636,4.7450104,1020,17,0.283333333333333,"driving"
"Kuala Lumpur - Ampang Hilir,325 Persiaran Ritchie","Bukit Bintang, Kuala Lumpur",6203,6.203,3.8545442,779,12.9833333333333,0.216388888888889,"driving"
"Kuala Lumpur - Ampang,[Specialist] Ampang KLCC Keramat Ukay","Kuala Lumpur, TRX",8664,8.664,5.3838096,1042,17.3666666666667,0.289444444444444,"driving"
"Kuala Lumpur - Ampang,[Specialist] Ampang KLCC Keramat Ukay","Kuala Lumpur City Centre",13238,13.238,8.2260932,1134,18.9,0.315,"driving"
"Kuala Lumpur - Ampang,[Specialist] Ampang KLCC Keramat Ukay","Bukit Bintang, Kuala Lumpur",8097,8.097,5.0314758,1032,17.2,0.286666666666667,"driving"
"Kuala Lumpur - Ampang Hilir,","Kuala Lumpur, TRX",6063,6.063,3.7675482,828,13.8,0.23,"driving"
"Kuala Lumpur - Ampang Hilir,","Kuala Lumpur City Centre",13073,13.073,8.1235622,1123,18.7166666666667,0.311944444444444,"driving"
"Kuala Lumpur - Ampang Hilir,","Bukit Bintang, Kuala Lumpur",5496,5.496,3.4152144,818,13.6333333333333,0.227222222222222,"driving"
"Kuala Lumpur - KL City,Kuala Lumpur","Kuala Lumpur, TRX",4906,4.906,3.0485884,690,11.5,0.191666666666667,"driving"
"Kuala Lumpur - KL City,Kuala Lumpur","Kuala Lumpur City Centre",2217,2.217,1.3776438,479,7.98333333333333,0.133055555555556,"driving"
"Kuala Lumpur - KL City,Kuala Lumpur","Bukit Bintang, Kuala Lumpur",4152,4.152,2.5800528,580,9.66666666666667,0.161111111111111,"driving"
"Kuala Lumpur - Cheras,pangsapuri flat apartment cheras , sungai long","Kuala Lumpur, TRX",20151,20.151,12.5218314,1721,28.6833333333333,0.478055555555556,"driving"
"Kuala Lumpur - Cheras,pangsapuri flat apartment cheras , sungai long","Kuala Lumpur City Centre",19573,19.573,12.1626622,1645,27.4166666666667,0.456944444444444,"driving"
"Kuala Lumpur - Cheras,pangsapuri flat apartment cheras , sungai long","Bukit Bintang, Kuala Lumpur",19397,19.397,12.0532958,1612,26.8666666666667,0.447777777777778,"driving"
"Kuala Lumpur - Wangsa Maju,Seksyen 1 Wangsa Maju","Kuala Lumpur, TRX",11495,11.495,7.142993,1212,20.2,0.336666666666667,"driving"
"Kuala Lumpur - Wangsa Maju,Seksyen 1 Wangsa Maju","Kuala Lumpur City Centre",12275,12.275,7.627685,1425,23.75,0.395833333333333,"driving"
"Kuala Lumpur - Wangsa Maju,Seksyen 1 Wangsa Maju","Bukit Bintang, Kuala Lumpur",10928,10.928,6.7906592,1203,20.05,0.334166666666667,"driving"
"Kuala Lumpur - Sri Petaling,Apartment Seri Ceria 1","Kuala Lumpur, TRX",20102,20.102,12.4913828,1556,25.9333333333333,0.432222222222222,"driving"
"Kuala Lumpur - Sri Petaling,Apartment Seri Ceria 1","Kuala Lumpur City Centre",19551,19.551,12.1489914,1525,25.4166666666667,0.423611111111111,"driving"
"Kuala Lumpur - Sri Petaling,Apartment Seri Ceria 1","Bukit Bintang, Kuala Lumpur",19535,19.535,12.139049,1546,25.7666666666667,0.429444444444444,"driving"
"Kuala Lumpur - Setapak,Prima Setapak II","Kuala Lumpur, TRX",10449,10.449,6.4930086,1198,19.9666666666667,0.332777777777778,"driving"
"Kuala Lumpur - Setapak,Prima Setapak II","Kuala Lumpur City Centre",10149,10.149,6.3065886,1209,20.15,0.335833333333333,"driving"
"Kuala Lumpur - Setapak,Prima Setapak II","Bukit Bintang, Kuala Lumpur",10268,10.268,6.3805352,1221,20.35,0.339166666666667,"driving"
"Kuala Lumpur - Ampang,Impiana on The Waterfront","Kuala Lumpur, TRX",8376,8.376,5.2048464,853,14.2166666666667,0.236944444444444,"driving"
"Kuala Lumpur - Ampang,Impiana on The Waterfront","Kuala Lumpur City Centre",8749,8.749,5.4366286,996,16.6,0.276666666666667,"driving"
"Kuala Lumpur - Ampang,Impiana on The Waterfront","Bukit Bintang, Kuala Lumpur",8195,8.195,5.092373,876,14.6,0.243333333333333,"driving"
"Kuala Lumpur - Kepong,Seri Puri","Kuala Lumpur, TRX",22745,22.745,14.133743,1938,32.3,0.538333333333333,"driving"
"Kuala Lumpur - Kepong,Seri Puri","Kuala Lumpur City Centre",20244,20.244,12.5796216,1727,28.7833333333333,0.479722222222222,"driving"
"Kuala Lumpur - Kepong,Seri Puri","Bukit Bintang, Kuala Lumpur",21991,21.991,13.6652074,1829,30.4833333333333,0.508055555555556,"driving"
"Kuala Lumpur - Bukit Jalil,Casa Green Bukit Jalil","Kuala Lumpur, TRX",14623,14.623,9.0867322,1267,21.1166666666667,0.351944444444444,"driving"
"Kuala Lumpur - Bukit Jalil,Casa Green Bukit Jalil","Kuala Lumpur City Centre",14069,14.069,8.7424766,1244,20.7333333333333,0.345555555555556,"driving"
"Kuala Lumpur - Bukit Jalil,Casa Green Bukit Jalil","Bukit Bintang, Kuala Lumpur",14056,14.056,8.7343984,1257,20.95,0.349166666666667,"driving"
"Kuala Lumpur - Bukit Bintang,Fairlane Residences","Kuala Lumpur, TRX",1442,1.442,0.8960588,367,6.11666666666667,0.101944444444444,"driving"
"Kuala Lumpur - Bukit Bintang,Fairlane Residences","Kuala Lumpur City Centre",3997,3.997,2.4837358,814,13.5666666666667,0.226111111111111,"driving"
"Kuala Lumpur - Bukit Bintang,Fairlane Residences","Bukit Bintang, Kuala Lumpur",812,0.812,0.5045768,323,5.38333333333333,0.0897222222222222,"driving"
"Kuala Lumpur - Sentul,flat sentul utama","Kuala Lumpur, TRX",11199,11.199,6.9590586,1267,21.1166666666667,0.351944444444444,"driving"
"Kuala Lumpur - Sentul,flat sentul utama","Kuala Lumpur City Centre",10931,10.931,6.7925234,1289,21.4833333333333,0.358055555555556,"driving"
"Kuala Lumpur - Sentul,flat sentul utama","Bukit Bintang, Kuala Lumpur",11018,11.018,6.8465852,1290,21.5,0.358333333333333,"driving"
"Kuala Lumpur - Desa Pandan,Faiz’s","Kuala Lumpur, TRX",4601,4.601,2.8590614,599,9.98333333333333,0.166388888888889,"driving"
"Kuala Lumpur - Desa Pandan,Faiz’s","Kuala Lumpur City Centre",7213,7.213,4.4821582,1024,17.0666666666667,0.284444444444444,"driving"
"Kuala Lumpur - Desa Pandan,Faiz’s","Bukit Bintang, Kuala Lumpur",4034,4.034,2.5067276,590,9.83333333333333,0.163888888888889,"driving"
"Kuala Lumpur - KLCC,188 Suites","Kuala Lumpur, TRX",2912,2.912,1.8095168,683,11.3833333333333,0.189722222222222,"driving"
"Kuala Lumpur - KLCC,188 Suites","Kuala Lumpur City Centre",3051,3.051,1.8958914,787,13.1166666666667,0.218611111111111,"driving"
"Kuala Lumpur - KLCC,188 Suites","Bukit Bintang, Kuala Lumpur",2499,2.499,1.5528786,665,11.0833333333333,0.184722222222222,"driving"
"Kuala Lumpur - Brickfields,Scott Sentral","Kuala Lumpur, TRX",5508,5.508,3.4226712,755,12.5833333333333,0.209722222222222,"driving"
"Kuala Lumpur - Brickfields,Scott Sentral","Kuala Lumpur City Centre",2726,2.726,1.6939364,493,8.21666666666667,0.136944444444444,"driving"
"Kuala Lumpur - Brickfields,Scott Sentral","Bukit Bintang, Kuala Lumpur",4754,4.754,2.9541356,646,10.7666666666667,0.179444444444444,"driving"
"Kuala Lumpur - Segambut,Anjali @ North Kiara","Kuala Lumpur, TRX",13186,13.186,8.1937804,1391,23.1833333333333,0.386388888888889,"driving"
"Kuala Lumpur - Segambut,Anjali @ North Kiara","Kuala Lumpur City Centre",10061,10.061,6.2519054,1219,20.3166666666667,0.338611111111111,"driving"
"Kuala Lumpur - Segambut,Anjali @ North Kiara","Bukit Bintang, Kuala Lumpur",11995,11.995,7.453693,1320,22,0.366666666666667,"driving"
"Kuala Lumpur - KL City,10 Stonor","Kuala Lumpur, TRX",2245,2.245,1.395043,488,8.13333333333333,0.135555555555556,"driving"
"Kuala Lumpur - KL City,10 Stonor","Kuala Lumpur City Centre",5425,5.425,3.371095,862,14.3666666666667,0.239444444444444,"driving"
"Kuala Lumpur - KL City,10 Stonor","Bukit Bintang, Kuala Lumpur",2162,2.162,1.3434668,523,8.71666666666667,0.145277777777778,"driving"
"Kuala Lumpur - Ampang,Desaku 3","Kuala Lumpur, TRX",15523,15.523,9.6459922,1455,24.25,0.404166666666667,"driving"
"Kuala Lumpur - Ampang,Desaku 3","Kuala Lumpur City Centre",20093,20.093,12.4857902,1536,25.6,0.426666666666667,"driving"
"Kuala Lumpur - Ampang,Desaku 3","Bukit Bintang, Kuala Lumpur",14956,14.956,9.2936584,1446,24.1,0.401666666666667,"driving"
"Kuala Lumpur - Mont Kiara,Mont Kiara Bayu","Kuala Lumpur, TRX",13517,13.517,8.3994638,1453,24.2166666666667,0.403611111111111,"driving"
"Kuala Lumpur - Mont Kiara,Mont Kiara Bayu","Kuala Lumpur City Centre",10392,10.392,6.4575888,1281,21.35,0.355833333333333,"driving"
"Kuala Lumpur - Mont Kiara,Mont Kiara Bayu","Bukit Bintang, Kuala Lumpur",12327,12.327,7.6599978,1382,23.0333333333333,0.383888888888889,"driving"
"Kuala Lumpur - Bukit Bintang,Verticas Residensi","Kuala Lumpur, TRX",3052,3.052,1.8965128,624,10.4,0.173333333333333,"driving"
"Kuala Lumpur - Bukit Bintang,Verticas Residensi","Kuala Lumpur City Centre",1781,1.781,1.1067134,475,7.91666666666667,0.131944444444444,"driving"
"Kuala Lumpur - Bukit Bintang,Verticas Residensi","Bukit Bintang, Kuala Lumpur",1710,1.71,1.062594,564,9.4,0.156666666666667,"driving"
"Kuala Lumpur - Brickfields,Villa Scott","Kuala Lumpur, TRX",5369,5.369,3.3362966,707,11.7833333333333,0.196388888888889,"driving"
"Kuala Lumpur - Brickfields,Villa Scott","Kuala Lumpur City Centre",2587,2.587,1.6075618,445,7.41666666666667,0.123611111111111,"driving"
"Kuala Lumpur - Brickfields,Villa Scott","Bukit Bintang, Kuala Lumpur",4615,4.615,2.867761,597,9.95,0.165833333333333,"driving"
"Kuala Lumpur - Pantai,PPR Kerinchi","Kuala Lumpur, TRX",12555,12.555,7.801677,1193,19.8833333333333,0.331388888888889,"driving"
"Kuala Lumpur - Pantai,PPR Kerinchi","Kuala Lumpur City Centre",7211,7.211,4.4809154,884,14.7333333333333,0.245555555555556,"driving"
"Kuala Lumpur - Pantai,PPR Kerinchi","Bukit Bintang, Kuala Lumpur",9352,9.352,5.8113328,1040,17.3333333333333,0.288888888888889,"driving"
"Kuala Lumpur - Taman Melawati,Gaya Apartments","Kuala Lumpur, TRX",15462,15.462,9.6080868,1516,25.2666666666667,0.421111111111111,"driving"
"Kuala Lumpur - Taman Melawati,Gaya Apartments","Kuala Lumpur City Centre",20032,20.032,12.4478848,1597,26.6166666666667,0.443611111111111,"driving"
"Kuala Lumpur - Taman Melawati,Gaya Apartments","Bukit Bintang, Kuala Lumpur",14895,14.895,9.255753,1506,25.1,0.418333333333333,"driving"
"Kuala Lumpur - Solaris Dutamas,Hartamas Regency I","Kuala Lumpur, TRX",12287,12.287,7.6351418,1297,21.6166666666667,0.360277777777778,"driving"
"Kuala Lumpur - Solaris Dutamas,Hartamas Regency I","Kuala Lumpur City Centre",9162,9.162,5.6932668,1124,18.7333333333333,0.312222222222222,"driving"
"Kuala Lumpur - Solaris Dutamas,Hartamas Regency I","Bukit Bintang, Kuala Lumpur",11097,11.097,6.8956758,1226,20.4333333333333,0.340555555555556,"driving"
"Kuala Lumpur - Bukit Jalil,bukit jalil","Kuala Lumpur, TRX",14093,14.093,8.7573902,1009,16.8166666666667,0.280277777777778,"driving"
"Kuala Lumpur - Bukit Jalil,bukit jalil","Kuala Lumpur City Centre",13538,13.538,8.4125132,986,16.4333333333333,0.273888888888889,"driving"
"Kuala Lumpur - Bukit Jalil,bukit jalil","Bukit Bintang, Kuala Lumpur",13526,13.526,8.4050564,1000,16.6666666666667,0.277777777777778,"driving"
"Kuala Lumpur - Kepong,The Henge","Kuala Lumpur, TRX",16785,16.785,10.430199,1679,27.9833333333333,0.466388888888889,"driving"
"Kuala Lumpur - Kepong,The Henge","Kuala Lumpur City Centre",13660,13.66,8.488324,1507,25.1166666666667,0.418611111111111,"driving"
"Kuala Lumpur - Kepong,The Henge","Bukit Bintang, Kuala Lumpur",15595,15.595,9.690733,1608,26.8,0.446666666666667,"driving"
"Kuala Lumpur - Kepong,Taman Indah Perdana","Kuala Lumpur, TRX",17491,17.491,10.8689074,1735,28.9166666666667,0.481944444444444,"driving"
"Kuala Lumpur - Kepong,Taman Indah Perdana","Kuala Lumpur City Centre",14366,14.366,8.9270324,1562,26.0333333333333,0.433888888888889,"driving"
"Kuala Lumpur - Kepong,Taman Indah Perdana","Bukit Bintang, Kuala Lumpur",16301,16.301,10.1294414,1664,27.7333333333333,0.462222222222222,"driving"
"Kuala Lumpur - Sentul,The Saffron","Kuala Lumpur, TRX",8487,8.487,5.2738218,1028,17.1333333333333,0.285555555555556,"driving"
"Kuala Lumpur - Sentul,The Saffron","Kuala Lumpur City Centre",8960,8.96,5.567744,840,14,0.233333333333333,"driving"
"Kuala Lumpur - Sentul,The Saffron","Bukit Bintang, Kuala Lumpur",10707,10.707,6.6533298,942,15.7,0.261666666666667,"driving"
"Kuala Lumpur - Taman Tun Dr Ismail,The Plaza Condominium","Kuala Lumpur, TRX",19695,19.695,12.238473,1465,24.4166666666667,0.406944444444444,"driving"
"Kuala Lumpur - Taman Tun Dr Ismail,The Plaza Condominium","Kuala Lumpur City Centre",14496,14.496,9.0078144,1229,20.4833333333333,0.341388888888889,"driving"
"Kuala Lumpur - Taman Tun Dr Ismail,The Plaza Condominium","Bukit Bintang, Kuala Lumpur",15547,15.547,9.6609058,1331,22.1833333333333,0.369722222222222,"driving"
"Kuala Lumpur - Setapak,Melati Impian","Kuala Lumpur, TRX",13297,13.297,8.2627558,1449,24.15,0.4025,"driving"
"Kuala Lumpur - Setapak,Melati Impian","Kuala Lumpur City Centre",13029,13.029,8.0962206,1470,24.5,0.408333333333333,"driving"
"Kuala Lumpur - Setapak,Melati Impian","Bukit Bintang, Kuala Lumpur",13116,13.116,8.1502824,1472,24.5333333333333,0.408888888888889,"driving"
"Kuala Lumpur - Sungai Besi,Apartment Desa Tasik Fasa 1A","Kuala Lumpur, TRX",14951,14.951,9.2905514,1129,18.8166666666667,0.313611111111111,"driving"
"Kuala Lumpur - Sungai Besi,Apartment Desa Tasik Fasa 1A","Kuala Lumpur City Centre",14399,14.399,8.9475386,1099,18.3166666666667,0.305277777777778,"driving"
"Kuala Lumpur - Sungai Besi,Apartment Desa Tasik Fasa 1A","Bukit Bintang, Kuala Lumpur",14384,14.384,8.9382176,1120,18.6666666666667,0.311111111111111,"driving"
"Kuala Lumpur - Kepong,Taman Sejahtera","Kuala Lumpur, TRX",16649,16.649,10.3456886,1595,26.5833333333333,0.443055555555556,"driving"
"Kuala Lumpur - Kepong,Taman Sejahtera","Kuala Lumpur City Centre",13524,13.524,8.4038136,1422,23.7,0.395,"driving"
"Kuala Lumpur - Kepong,Taman Sejahtera","Bukit Bintang, Kuala Lumpur",15459,15.459,9.6062226,1524,25.4,0.423333333333333,"driving"
"Kuala Lumpur - Cheras,J Dupion , Cheras","Kuala Lumpur, TRX",6356,6.356,3.9496184,743,12.3833333333333,0.206388888888889,"driving"
"Kuala Lumpur - Cheras,J Dupion , Cheras","Kuala Lumpur City Centre",5778,5.778,3.5904492,667,11.1166666666667,0.185277777777778,"driving"
"Kuala Lumpur - Cheras,J Dupion , Cheras","Bukit Bintang, Kuala Lumpur",5601,5.601,3.4804614,634,10.5666666666667,0.176111111111111,"driving"
"Kuala Lumpur - Setapak,Pangsapuri Setapak Jaya 1B","Kuala Lumpur, TRX",7647,7.647,4.7518458,1042,17.3666666666667,0.289444444444444,"driving"
"Kuala Lumpur - Setapak,Pangsapuri Setapak Jaya 1B","Kuala Lumpur City Centre",11011,11.011,6.8422354,1357,22.6166666666667,0.376944444444444,"driving"
"Kuala Lumpur - Setapak,Pangsapuri Setapak Jaya 1B","Bukit Bintang, Kuala Lumpur",7467,7.467,4.6399938,1065,17.75,0.295833333333333,"driving"
"Kuala Lumpur - Keramat,Apartment Sri Kayangan","Kuala Lumpur, TRX",16141,16.141,10.0300174,1557,25.95,0.4325,"driving"
"Kuala Lumpur - Keramat,Apartment Sri Kayangan","Kuala Lumpur City Centre",20711,20.711,12.8698154,1638,27.3,0.455,"driving"
"Kuala Lumpur - Keramat,Apartment Sri Kayangan","Bukit Bintang, Kuala Lumpur",15574,15.574,9.6776836,1548,25.8,0.43,"driving"
"Kuala Lumpur - Pandan Perdana,","Kuala Lumpur, TRX",6316,6.316,3.9247624,853,14.2166666666667,0.236944444444444,"driving"
"Kuala Lumpur - Pandan Perdana,","Kuala Lumpur City Centre",9026,9.026,5.6087564,856,14.2666666666667,0.237777777777778,"driving"
"Kuala Lumpur - Pandan Perdana,","Bukit Bintang, Kuala Lumpur",5749,5.749,3.5724286,843,14.05,0.234166666666667,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Mont' Kiara","Kuala Lumpur, TRX",13570,13.57,8.432398,1306,21.7666666666667,0.362777777777778,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Mont' Kiara","Kuala Lumpur City Centre",11069,11.069,6.8782766,1095,18.25,0.304166666666667,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Mont' Kiara","Bukit Bintang, Kuala Lumpur",12815,12.815,7.963241,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Sentul,Sang Suria","Kuala Lumpur, TRX",9088,9.088,5.6472832,1050,17.5,0.291666666666667,"driving"
"Kuala Lumpur - Sentul,Sang Suria","Kuala Lumpur City Centre",7473,7.473,4.6437222,918,15.3,0.255,"driving"
"Kuala Lumpur - Sentul,Sang Suria","Bukit Bintang, Kuala Lumpur",8908,8.908,5.5354312,1074,17.9,0.298333333333333,"driving"
"Kuala Lumpur - Pandan Perdana,Pandan Terrace Apartment","Kuala Lumpur, TRX",5864,5.864,3.6438896,843,14.05,0.234166666666667,"driving"
"Kuala Lumpur - Pandan Perdana,Pandan Terrace Apartment","Kuala Lumpur City Centre",8831,8.831,5.4875834,940,15.6666666666667,0.261111111111111,"driving"
"Kuala Lumpur - Pandan Perdana,Pandan Terrace Apartment","Bukit Bintang, Kuala Lumpur",5297,5.297,3.2915558,833,13.8833333333333,0.231388888888889,"driving"
"Kuala Lumpur - Pandan Jaya,Axis Residence @Axis Pandan, Pandan Jaya","Kuala Lumpur, TRX",5585,5.585,3.470519,777,12.95,0.215833333333333,"driving"
"Kuala Lumpur - Pandan Jaya,Axis Residence @Axis Pandan, Pandan Jaya","Kuala Lumpur City Centre",10156,10.156,6.3109384,858,14.3,0.238333333333333,"driving"
"Kuala Lumpur - Pandan Jaya,Axis Residence @Axis Pandan, Pandan Jaya","Bukit Bintang, Kuala Lumpur",5018,5.018,3.1181852,767,12.7833333333333,0.213055555555556,"driving"
"Kuala Lumpur - Kepong,Aman Puri","Kuala Lumpur, TRX",22274,22.274,13.8410636,1873,31.2166666666667,0.520277777777778,"driving"
"Kuala Lumpur - Kepong,Aman Puri","Kuala Lumpur City Centre",19774,19.774,12.2875636,1661,27.6833333333333,0.461388888888889,"driving"
"Kuala Lumpur - Kepong,Aman Puri","Bukit Bintang, Kuala Lumpur",21520,21.52,13.372528,1763,29.3833333333333,0.489722222222222,"driving"
"Kuala Lumpur - Old Klang Road,Citizen 2","Kuala Lumpur, TRX",13148,13.148,8.1701672,1204,20.0666666666667,0.334444444444444,"driving"
"Kuala Lumpur - Old Klang Road,Citizen 2","Kuala Lumpur City Centre",10382,10.382,6.4513748,1156,19.2666666666667,0.321111111111111,"driving"
"Kuala Lumpur - Old Klang Road,Citizen 2","Bukit Bintang, Kuala Lumpur",12581,12.581,7.8178334,1195,19.9166666666667,0.331944444444444,"driving"
"Kuala Lumpur - Bandar Menjalara,M-Suite @ Bandar Manjalara","Kuala Lumpur, TRX",18428,18.428,11.4511592,1579,26.3166666666667,0.438611111111111,"driving"
"Kuala Lumpur - Bandar Menjalara,M-Suite @ Bandar Manjalara","Kuala Lumpur City Centre",15006,15.006,9.3247284,1328,22.1333333333333,0.368888888888889,"driving"
"Kuala Lumpur - Bandar Menjalara,M-Suite @ Bandar Manjalara","Bukit Bintang, Kuala Lumpur",16752,16.752,10.4096928,1429,23.8166666666667,0.396944444444444,"driving"
"Kuala Lumpur - Wangsa Maju,Sri Jelatek","Kuala Lumpur, TRX",11895,11.895,7.391553,1372,22.8666666666667,0.381111111111111,"driving"
"Kuala Lumpur - Wangsa Maju,Sri Jelatek","Kuala Lumpur City Centre",12674,12.674,7.8756236,1584,26.4,0.44,"driving"
"Kuala Lumpur - Wangsa Maju,Sri Jelatek","Bukit Bintang, Kuala Lumpur",11328,11.328,7.0392192,1362,22.7,0.378333333333333,"driving"
"Kuala Lumpur - Bangsar South,[Specialist] Bangsar South | Brickfields | Pantai Dalam","Kuala Lumpur, TRX",12660,12.66,7.866924,1068,17.8,0.296666666666667,"driving"
"Kuala Lumpur - Bangsar South,[Specialist] Bangsar South | Brickfields | Pantai Dalam","Kuala Lumpur City Centre",7491,7.491,4.6549074,885,14.75,0.245833333333333,"driving"
"Kuala Lumpur - Bangsar South,[Specialist] Bangsar South | Brickfields | Pantai Dalam","Bukit Bintang, Kuala Lumpur",12093,12.093,7.5145902,1058,17.6333333333333,0.293888888888889,"driving"
"Kuala Lumpur - Bangsar,[Specialist] Bangsar South | Brickfields | Pantai Dalam","Kuala Lumpur, TRX",12608,12.608,7.8346112,1046,17.4333333333333,0.290555555555556,"driving"
"Kuala Lumpur - Bangsar,[Specialist] Bangsar South | Brickfields | Pantai Dalam","Kuala Lumpur City Centre",7439,7.439,4.6225946,862,14.3666666666667,0.239444444444444,"driving"
"Kuala Lumpur - Bangsar,[Specialist] Bangsar South | Brickfields | Pantai Dalam","Bukit Bintang, Kuala Lumpur",12041,12.041,7.4822774,1036,17.2666666666667,0.287777777777778,"driving"
"Kuala Lumpur - Ampang,Pavilion Embassy","Kuala Lumpur, TRX",3359,3.359,2.0872826,519,8.65,0.144166666666667,"driving"
"Kuala Lumpur - Ampang,Pavilion Embassy","Kuala Lumpur City Centre",4240,4.24,2.634736,925,15.4166666666667,0.256944444444444,"driving"
"Kuala Lumpur - Ampang,Pavilion Embassy","Bukit Bintang, Kuala Lumpur",3178,3.178,1.9748092,543,9.05,0.150833333333333,"driving"
"Kuala Lumpur - Wangsa Maju,Lojing Heights 1","Kuala Lumpur, TRX",10510,10.51,6.530914,1062,17.7,0.295,"driving"
"Kuala Lumpur - Wangsa Maju,Lojing Heights 1","Kuala Lumpur City Centre",11289,11.289,7.0149846,1275,21.25,0.354166666666667,"driving"
"Kuala Lumpur - Wangsa Maju,Lojing Heights 1","Bukit Bintang, Kuala Lumpur",9943,9.943,6.1785802,1053,17.55,0.2925,"driving"
"Kuala Lumpur - Ampang,Mutiara Upper East","Kuala Lumpur, TRX",5281,5.281,3.2816134,631,10.5166666666667,0.175277777777778,"driving"
"Kuala Lumpur - Ampang,Mutiara Upper East","Kuala Lumpur City Centre",7893,7.893,4.9047102,1055,17.5833333333333,0.293055555555556,"driving"
"Kuala Lumpur - Ampang,Mutiara Upper East","Bukit Bintang, Kuala Lumpur",4714,4.714,2.9292796,621,10.35,0.1725,"driving"
"Kuala Lumpur - Ampang Hilir,[Specialist] Ampang KLCC Keramat Ukay","Kuala Lumpur, TRX",1960,1.96,1.217944,429,7.15,0.119166666666667,"driving"
"Kuala Lumpur - Ampang Hilir,[Specialist] Ampang KLCC Keramat Ukay","Kuala Lumpur City Centre",3604,3.604,2.2395256,885,14.75,0.245833333333333,"driving"
"Kuala Lumpur - Ampang Hilir,[Specialist] Ampang KLCC Keramat Ukay","Bukit Bintang, Kuala Lumpur",1547,1.547,0.9613058,412,6.86666666666667,0.114444444444444,"driving"
"Kuala Lumpur - KLCC,Marc Service Residence","Kuala Lumpur, TRX",2179,2.179,1.3540306,415,6.91666666666667,0.115277777777778,"driving"
"Kuala Lumpur - KLCC,Marc Service Residence","Kuala Lumpur City Centre",3205,3.205,1.991587,784,13.0666666666667,0.217777777777778,"driving"
"Kuala Lumpur - KLCC,Marc Service Residence","Bukit Bintang, Kuala Lumpur",1766,1.766,1.0973924,398,6.63333333333333,0.110555555555556,"driving"
"Kuala Lumpur - Wangsa Maju,Season Garden","Kuala Lumpur, TRX",10707,10.707,6.6533298,1154,19.2333333333333,0.320555555555556,"driving"
"Kuala Lumpur - Wangsa Maju,Season Garden","Kuala Lumpur City Centre",11487,11.487,7.1380218,1367,22.7833333333333,0.379722222222222,"driving"
"Kuala Lumpur - Wangsa Maju,Season Garden","Bukit Bintang, Kuala Lumpur",10140,10.14,6.300996,1145,19.0833333333333,0.318055555555556,"driving"
"Kuala Lumpur - Setapak,Platinum Hill PV 8","Kuala Lumpur, TRX",18462,18.462,11.4722868,1512,25.2,0.42,"driving"
"Kuala Lumpur - Setapak,Platinum Hill PV 8","Kuala Lumpur City Centre",18194,18.194,11.3057516,1534,25.5666666666667,0.426111111111111,"driving"
"Kuala Lumpur - Setapak,Platinum Hill PV 8","Bukit Bintang, Kuala Lumpur",18281,18.281,11.3598134,1536,25.6,0.426666666666667,"driving"
"Kuala Lumpur - Sentul,Sky Awani 2 Residence","Kuala Lumpur, TRX",12312,12.312,7.6506768,1508,25.1333333333333,0.418888888888889,"driving"
"Kuala Lumpur - Sentul,Sky Awani 2 Residence","Kuala Lumpur City Centre",12776,12.776,7.9390064,1272,21.2,0.353333333333333,"driving"
"Kuala Lumpur - Sentul,Sky Awani 2 Residence","Bukit Bintang, Kuala Lumpur",14710,14.71,9.140794,1374,22.9,0.381666666666667,"driving"
"Kuala Lumpur - Mont Kiara,Residensi Solarsi Parq","Kuala Lumpur, TRX",10652,10.652,6.6191528,1160,19.3333333333333,0.322222222222222,"driving"
"Kuala Lumpur - Mont Kiara,Residensi Solarsi Parq","Kuala Lumpur City Centre",8367,8.367,5.1992538,944,15.7333333333333,0.262222222222222,"driving"
"Kuala Lumpur - Mont Kiara,Residensi Solarsi Parq","Bukit Bintang, Kuala Lumpur",10113,10.113,6.2842182,1046,17.4333333333333,0.290555555555556,"driving"
"Kuala Lumpur - Pandan Indah,Dahlia Apt","Kuala Lumpur, TRX",6289,6.289,3.9079846,730,12.1666666666667,0.202777777777778,"driving"
"Kuala Lumpur - Pandan Indah,Dahlia Apt","Kuala Lumpur City Centre",3394,3.394,2.1090316,464,7.73333333333333,0.128888888888889,"driving"
