"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Setapak,PV9 Residences @ Taman Melati","Kuala Lumpur City Centre",12161,12.161,7.5568454,1499,24.9833333333333,0.416388888888889,"driving"
"Kuala Lumpur - Setapak,PV9 Residences @ Taman Melati","Bukit Bintang, Kuala Lumpur",12797,12.797,7.9520558,1416,23.6,0.393333333333333,"driving"
"Kuala Lumpur - Sentul,Maxim Citilights","Kuala Lumpur, TRX",11497,11.497,7.1442358,1273,21.2166666666667,0.353611111111111,"driving"
"Kuala Lumpur - Sentul,Maxim Citilights","Kuala Lumpur City Centre",11230,11.23,6.978322,1294,21.5666666666667,0.359444444444444,"driving"
"Kuala Lumpur - Sentul,Maxim Citilights","Bukit Bintang, Kuala Lumpur",11316,11.316,7.0317624,1296,21.6,0.36,"driving"
"Kuala Lumpur - Kepong,Greenview Apartments","Kuala Lumpur, TRX",NA,NA,NA,NA,NA,NA,NA
"Kuala Lumpur - Kepong,Greenview Apartments","Kuala Lumpur City Centre",NA,NA,NA,NA,NA,NA,NA
"Kuala Lumpur - Kepong,Greenview Apartments","Bukit Bintang, Kuala Lumpur",NA,NA,NA,NA,NA,NA,NA
"Kuala Lumpur - KL City,Legasi Kampong Bharu","Kuala Lumpur, TRX",5729,5.729,3.5600006,922,15.3666666666667,0.256111111111111,"driving"
"Kuala Lumpur - KL City,Legasi Kampong Bharu","Kuala Lumpur City Centre",4140,4.14,2.572596,1021,17.0166666666667,0.283611111111111,"driving"
"Kuala Lumpur - KL City,Legasi Kampong Bharu","Bukit Bintang, Kuala Lumpur",5548,5.548,3.4475272,945,15.75,0.2625,"driving"
"Kuala Lumpur - Cheras,Majestic Maxim","Kuala Lumpur, TRX",10679,10.679,6.6359306,1055,17.5833333333333,0.293055555555556,"driving"
"Kuala Lumpur - Cheras,Majestic Maxim","Kuala Lumpur City Centre",10102,10.102,6.2773828,978,16.3,0.271666666666667,"driving"
"Kuala Lumpur - Cheras,Majestic Maxim","Bukit Bintang, Kuala Lumpur",9925,9.925,6.167395,945,15.75,0.2625,"driving"
"Kuala Lumpur - Wangsa Maju,Desa Villas","Kuala Lumpur, TRX",11807,11.807,7.3368698,1377,22.95,0.3825,"driving"
"Kuala Lumpur - Wangsa Maju,Desa Villas","Kuala Lumpur City Centre",12586,12.586,7.8209404,1590,26.5,0.441666666666667,"driving"
"Kuala Lumpur - Wangsa Maju,Desa Villas","Bukit Bintang, Kuala Lumpur",11240,11.24,6.984536,1368,22.8,0.38,"driving"
"Kuala Lumpur - Ampang,East Side One Ampang Avenue","Kuala Lumpur, TRX",8127,8.127,5.0501178,929,15.4833333333333,0.258055555555556,"driving"
"Kuala Lumpur - Ampang,East Side One Ampang Avenue","Kuala Lumpur City Centre",12613,12.613,7.8377182,1040,17.3333333333333,0.288888888888889,"driving"
"Kuala Lumpur - Ampang,East Side One Ampang Avenue","Bukit Bintang, Kuala Lumpur",7560,7.56,4.697784,920,15.3333333333333,0.255555555555556,"driving"
"Kuala Lumpur - Cheras,Sri Penara","Kuala Lumpur, TRX",11149,11.149,6.9279886,1131,18.85,0.314166666666667,"driving"
"Kuala Lumpur - Cheras,Sri Penara","Kuala Lumpur City Centre",9659,9.659,6.0021026,1073,17.8833333333333,0.298055555555556,"driving"
"Kuala Lumpur - Cheras,Sri Penara","Bukit Bintang, Kuala Lumpur",9586,9.586,5.9567404,1211,20.1833333333333,0.336388888888889,"driving"
"Kuala Lumpur - Cheras,Prisma Cheras","Kuala Lumpur, TRX",8688,8.688,5.3987232,1031,17.1833333333333,0.286388888888889,"driving"
"Kuala Lumpur - Cheras,Prisma Cheras","Kuala Lumpur City Centre",8111,8.111,5.0401754,955,15.9166666666667,0.265277777777778,"driving"
"Kuala Lumpur - Cheras,Prisma Cheras","Bukit Bintang, Kuala Lumpur",7934,7.934,4.9301876,921,15.35,0.255833333333333,"driving"
"Kuala Lumpur - Wangsa Maju,Menara Alpha","Kuala Lumpur, TRX",11940,11.94,7.419516,1309,21.8166666666667,0.363611111111111,"driving"
"Kuala Lumpur - Wangsa Maju,Menara Alpha","Kuala Lumpur City Centre",12719,12.719,7.9035866,1522,25.3666666666667,0.422777777777778,"driving"
"Kuala Lumpur - Wangsa Maju,Menara Alpha","Bukit Bintang, Kuala Lumpur",11373,11.373,7.0671822,1300,21.6666666666667,0.361111111111111,"driving"
"Kuala Lumpur - Setapak,Berlian Residence @ Setapak","Kuala Lumpur, TRX",9233,9.233,5.7373862,988,16.4666666666667,0.274444444444444,"driving"
"Kuala Lumpur - Setapak,Berlian Residence @ Setapak","Kuala Lumpur City Centre",8933,8.933,5.5509662,1000,16.6666666666667,0.277777777777778,"driving"
"Kuala Lumpur - Setapak,Berlian Residence @ Setapak","Bukit Bintang, Kuala Lumpur",9052,9.052,5.6249128,1012,16.8666666666667,0.281111111111111,"driving"
"Kuala Lumpur - Solaris Dutamas,28 Dutamas","Kuala Lumpur, TRX",12453,12.453,7.7382942,1302,21.7,0.361666666666667,"driving"
"Kuala Lumpur - Solaris Dutamas,28 Dutamas","Kuala Lumpur City Centre",9328,9.328,5.7964192,1129,18.8166666666667,0.313611111111111,"driving"
"Kuala Lumpur - Solaris Dutamas,28 Dutamas","Bukit Bintang, Kuala Lumpur",11263,11.263,6.9988282,1231,20.5166666666667,0.341944444444444,"driving"
"Kuala Lumpur - Sentul,Pangsapuri Melur (Sentul)","Kuala Lumpur, TRX",8306,8.306,5.1613484,990,16.5,0.275,"driving"
"Kuala Lumpur - Sentul,Pangsapuri Melur (Sentul)","Kuala Lumpur City Centre",9571,9.571,5.9474194,933,15.55,0.259166666666667,"driving"
"Kuala Lumpur - Sentul,Pangsapuri Melur (Sentul)","Bukit Bintang, Kuala Lumpur",8125,8.125,5.048875,1013,16.8833333333333,0.281388888888889,"driving"
"Kuala Lumpur - Sentul,Bayu Sentul Condominium","Kuala Lumpur, TRX",10438,10.438,6.4861732,1051,17.5166666666667,0.291944444444444,"driving"
"Kuala Lumpur - Sentul,Bayu Sentul Condominium","Kuala Lumpur City Centre",10171,10.171,6.3202594,1073,17.8833333333333,0.298055555555556,"driving"
"Kuala Lumpur - Sentul,Bayu Sentul Condominium","Bukit Bintang, Kuala Lumpur",10257,10.257,6.3736998,1075,17.9166666666667,0.298611111111111,"driving"
"Kuala Lumpur - Jalan Kuching,Flexus Signature Suites","Kuala Lumpur, TRX",14248,14.248,8.8537072,1219,20.3166666666667,0.338611111111111,"driving"
"Kuala Lumpur - Jalan Kuching,Flexus Signature Suites","Kuala Lumpur City Centre",11123,11.123,6.9118322,1046,17.4333333333333,0.290555555555556,"driving"
"Kuala Lumpur - Jalan Kuching,Flexus Signature Suites","Bukit Bintang, Kuala Lumpur",13058,13.058,8.1142412,1148,19.1333333333333,0.318888888888889,"driving"
"Kuala Lumpur - Bandar Menjalara,Menjalara 18","Kuala Lumpur, TRX",18141,18.141,11.2728174,1554,25.9,0.431666666666667,"driving"
"Kuala Lumpur - Bandar Menjalara,Menjalara 18","Kuala Lumpur City Centre",14720,14.72,9.147008,1303,21.7166666666667,0.361944444444444,"driving"
